"model","R2","MAE","RMSE","k","q"
"FFRK_lm",0.455259409988174,0.626910773661281,0.844658449918614,20,19
"FFRK_rf",0.505876752403696,0.573542518417735,0.804458984128358,20,19
"FFRK_rpart",0.4395884080951,0.637333546516004,0.856721799170693,20,19
"FFRK_svmRadial",0.428895830509608,0.639834995438893,0.864856249638078,20,19
"FFRK_lm",0.444834079236981,0.635783657268559,0.849780987286948,20,20
"FFRK_rf",0.509501279100978,0.569335028956333,0.79875676664271,20,20
"FFRK_rpart",0.343254006857733,0.684579686033749,0.924260358596034,20,20
"FFRK_svmRadial",0.441129160381945,0.623638908501498,0.852611793583715,20,20
"FFRK_lm",0.410387590579932,0.655550412830652,0.876464572452182,30,2
"FFRK_rf",0.502694583668832,0.558218335680692,0.804938412965002,30,2
"FFRK_rpart",0.375495616609966,0.686980256141122,0.902025476914118,30,2
"FFRK_svmRadial",0.413693216271123,0.649313577733724,0.874004196773154,30,2
"FFRK_lm",0.461896236434526,0.63438088366998,0.837305749258099,30,3
"FFRK_rf",0.491434350833121,0.590664954150743,0.814000309036116,30,3
"FFRK_rpart",0.389086402468293,0.667640657860996,0.892156315742996,30,3
"FFRK_svmRadial",0.434079916797935,0.62005744389896,0.8586745904555,30,3
"FFRK_lm",0.453290151688444,0.632283247030364,0.843974853914252,30,4
"FFRK_rf",0.446234180473054,0.600057527691465,0.849403666768497,30,4
"FFRK_rpart",0.422909869291401,0.632084026753662,0.867107378990016,30,4
"FFRK_svmRadial",0.43442044222386,0.626403297594866,0.858416210749269,30,4
"FFRK_lm",0.473690814655433,0.626087407768569,0.828078546436701,30,5
"FFRK_rf",0.47850680615144,0.590673938337834,0.82428117369382,30,5
"FFRK_rpart",0.416921168100256,0.644558668943177,0.871594931361878,30,5
"FFRK_svmRadial",0.408910436402045,0.63237253797931,0.877561787684755,30,5
"FFRK_lm",0.474928197058941,0.620009598306459,0.827104544070855,30,6
"FFRK_rf",0.46738540613084,0.590627614356427,0.83302414503443,30,6
"FFRK_rpart",0.430549290348661,0.63383543179377,0.861348948171103,30,6
"FFRK_svmRadial",0.458025042881752,0.608032352852573,0.840312198935364,30,6
"FFRK_lm",0.479069193937548,0.61336051336734,0.823836593863508,30,7
"FFRK_rf",0.489507495810297,0.583770136442659,0.815540894550851,30,7
"FFRK_rpart",0.422916711239138,0.632087181268393,0.86710223878692,30,7
"FFRK_svmRadial",0.445600800771796,0.623348116816976,0.849889288374469,30,7
"FFRK_lm",0.463264077730726,0.610484225639824,0.836240870869666,30,8
"FFRK_rf",0.517221207654477,0.564924621435289,0.793094887805977,30,8
"FFRK_rpart",0.456936797891476,0.613461360823661,0.841155417745124,30,8
"FFRK_svmRadial",0.432949743902529,0.630804137200723,0.859531572518414,30,8
"FFRK_lm",0.464617690379772,0.626836651643363,0.835185732999942,30,9
"FFRK_rf",0.488675424218816,0.574512878552583,0.816205264855203,30,9
