"model","R2","MAE","RMSE","k","q"
"FFRK_lm",0.568130770892894,0.374618572659321,0.490652327651599,30,16
"FFRK_rf",0.558776101238523,0.357277267759872,0.495937840561689,30,16
"FFRK_rpart",0.42698642817879,0.451547745593208,0.565171413376801,30,16
"FFRK_svmRadial",0.511809500613139,0.378514849002404,0.521665834598702,30,16
"FFRK_lm",0.58497138482552,0.36456930545272,0.480990782003992,30,17
"FFRK_rf",0.592087176724241,0.345271657633596,0.476849588092248,30,17
"FFRK_rpart",0.422435060217429,0.457098154976719,0.567411513361177,30,17
"FFRK_svmRadial",0.570083483436926,0.359524639943588,0.489541819689779,30,17
"FFRK_lm",0.539111226413799,0.388681469903071,0.506869078061014,30,18
"FFRK_rf",0.590532814986722,0.348259706617186,0.477757247728142,30,18
"FFRK_rpart",0.409622806059894,0.451601452016974,0.573670501813351,30,18
"FFRK_svmRadial",0.545537720110605,0.360495546899108,0.503322858231682,30,18
"FFRK_lm",0.565148220497193,0.38118279293544,0.492343669935932,30,19
"FFRK_rf",0.54187436025946,0.362407602622589,0.505347395768396,30,19
"FFRK_rpart",0.402340308623929,0.448111804708435,0.577197864795606,30,19
"FFRK_svmRadial",0.507268930740571,0.370864049354406,0.524086178728604,30,19
"FFRK_lm",0.524820054800037,0.401268958956011,0.513637135034434,30,20
"FFRK_rf",0.583515060604945,0.351006736937318,0.480869258615767,30,20
"FFRK_rpart",0.386324102644029,0.45563517812094,0.58370968131517,30,20
"FFRK_svmRadial",0.552515331264473,0.366233751451534,0.498444081549936,30,20
"FFRK_lm",0.561785724650354,0.381295625833464,0.494243530575145,30,21
"FFRK_rf",0.575832428586923,0.355640254208473,0.486257669240134,30,21
"FFRK_rpart",0.422221071017965,0.452189883906148,0.56751661729204,30,21
"FFRK_svmRadial",0.559024250374925,0.366100041909471,0.495798360520433,30,21
"FFRK_lm",0.492851366814124,0.4203499178013,0.529474824690143,50,2
"FFRK_rf",0.649716726954861,0.306957093048475,0.440035166003417,50,2
"FFRK_rpart",0.415105032437647,0.445204187382946,0.568612794856392,50,2
"FFRK_svmRadial",0.510977029341277,0.405861339476998,0.519926933225275,50,2
"FFRK_lm",0.503353915298787,0.411586549517994,0.525010858841088,50,3
"FFRK_rf",0.582968172683919,0.361651658306852,0.481093377350403,50,3
"FFRK_rpart",0.425559829020432,0.44180942545967,0.564634199353038,50,3
"FFRK_svmRadial",0.523326719809411,0.394528040783162,0.514345781425717,50,3
"FFRK_lm",0.574821149394568,0.380808412706642,0.485769904353238,50,4
"FFRK_rf",0.603443776228573,0.346569625479677,0.469134274422538,50,4
"FFRK_rpart",0.425565361406265,0.441803769787334,0.564631480373826,50,4
"FFRK_svmRadial",0.590804047155895,0.367245230092695,0.476552160541129,50,4
"FFRK_lm",0.548019705645436,0.38731434220576,0.501386773043333,50,5
"FFRK_rf",0.570411660553005,0.369018650569172,0.48880919261325,50,5
"FFRK_rpart",0.426922598176317,0.441085581488084,0.564572557155574,50,5
"FFRK_svmRadial",0.568993276448115,0.379057581685685,0.489615485266461,50,5
"FFRK_lm",0.535280556059896,0.393780824337885,0.508598490199806,50,6
"FFRK_rf",0.600453018435668,0.350294927515946,0.471588897163798,50,6
"FFRK_rpart",0.402100164188604,0.461512582045636,0.576891130375279,50,6
"FFRK_svmRadial",0.595889671845036,0.361962263492927,0.474274330666414,50,6
"FFRK_lm",0.580900871343464,0.372207954358119,0.482284336175694,50,7
"FFRK_rf",0.604534049393191,0.354304972948295,0.468488922608157,50,7
"FFRK_rpart",0.358651469477717,0.480725272497575,0.596611788011112,50,7
"FFRK_svmRadial",0.597819155634183,0.363513680374228,0.47244958168496,50,7
"FFRK_lm",0.508194111697266,0.415455716525744,0.52495624192869,50,8
"FFRK_rf",0.579640623088259,0.365740315918906,0.485329412509867,50,8
"FFRK_rpart",0.431541155645811,0.441520376979343,0.564385380921421,50,8
"FFRK_svmRadial",0.562153738820713,0.386649637835082,0.495321369151116,50,8
