"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"uk",1,2.70805020110221,3.270509627205,120.2535,-27.82049,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.25809653802148,3.21281967094274,120.21878,-27.8163,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,1.79175946922805,3.69315425691207,120.73756,-27.79311,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.15888308335967,3.63486205387517,120.59763,-27.79151,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.34380542185368,3.6435661367932,120.61412,-27.78811,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.46573590279973,3.63119725602633,121.03733,-27.78574,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.07944154167984,3.49127668930214,120.43209,-27.78091,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.47733681447821,3.64185235217724,121.01576,-27.76981,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.07944154167984,3.6949002335557,120.787,-27.76899,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.40119738166216,3.69476523264052,120.81506,-27.76292,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.70805020110221,3.15128423958049,120.19984,-27.75565,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.89037175789616,3.24700576438704,120.25811,-27.75348,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.52636052461616,3.6887607031706,120.7908,-27.74602,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.39789527279837,3.48068294110749,120.44683,-27.72281,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.63758615972639,3.61228152130388,120.60283,-27.72181,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.61091791264422,3.5549476585511,120.52802,-27.71667,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.36729582998647,3.42007830767443,120.40257,-27.70368,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.77258872223978,3.31155787146326,120.32583,-27.69057,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.95124371858143,3.43951470551428,120.42701,-27.68831,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.56494935746154,3.6650673305935,120.82319,-27.67807,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.36729582998647,3.069755200994,120.18538,-27.67059,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.99573227355399,3.17161734272213,120.24504,-27.66792,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.46573590279973,3.39354983780754,120.40674,-27.65406,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,5.1624976434055,3.53381548949778,120.55535,-27.64078,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.94443897916644,3.14532208468881,120.24363,-27.63679,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.69134788222914,3.54042940338763,120.57926,-27.62316,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.5857834721879,3.52210745765797,120.56341,-27.61422,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.25809653802148,3.23983844618965,120.32582,-27.59537,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.13549421592915,2.95513093871136,120.16524,-27.58123,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.58351893845611,3.32398251276186,120.40349,-27.57068,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.70805020110221,3.59333813763101,120.79427,-27.56044,"Nug;Sph","0.7269;0","0;0.1698","0;0"
