"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"rf",1,1.6094379124341,3.56805506695521,120.72367,-28.1845,NA,NA,NA,NA
"rf",1,3.78418963391826,3.07621323596074,120.56498,-28.18076,NA,NA,NA,NA
"rf",1,2.77258872223978,3.07869692836559,120.38606,-28.17831,NA,NA,NA,NA
"rf",1,3.17805383034795,3.97305615293997,120.71763,-28.17481,NA,NA,NA,NA
"rf",1,4.11087386417331,3.52835820731059,121.00083,-28.17385,NA,NA,NA,NA
"rf",1,3.17805383034795,2.79580147011654,120.20667,-28.16088,NA,NA,NA,NA
"rf",1,2.07944154167984,2.84771616466746,120.2418,-28.1472,NA,NA,NA,NA
"rf",1,1.79175946922805,3.18980361157496,120.72917,-28.13653,NA,NA,NA,NA
"rf",1,3.68887945411394,3.34916495030662,120.98367,-28.12928,NA,NA,NA,NA
"rf",1,2.83321334405622,3.02592786500482,121.20709,-28.12493,NA,NA,NA,NA
"rf",1,4.29045944114839,4.31757035063472,120.56709,-28.11187,NA,NA,NA,NA
"rf",1,2.484906649788,2.92930438268191,120.19767,-28.11062,NA,NA,NA,NA
"rf",1,4.77068462446567,4.55037747796487,120.57419,-28.10904,NA,NA,NA,NA
"rf",1,4.75359019110636,4.5442484706641,120.57569,-28.1084,NA,NA,NA,NA
"rf",1,3.98898404656427,4.32708835181259,120.57751,-28.10765,NA,NA,NA,NA
"rf",1,4.11087386417331,3.38840782235371,121.0701,-28.10299,NA,NA,NA,NA
"rf",1,3.25809653802148,3.23022530300273,120.42884,-28.10242,NA,NA,NA,NA
"rf",1,3.52636052461616,3.08866451788654,120.68897,-28.09908,NA,NA,NA,NA
"rf",1,3.58351893845611,3.62294333924527,120.66801,-28.09254,NA,NA,NA,NA
"rf",1,4.79579054559674,3.94892737578768,120.49634,-28.08349,NA,NA,NA,NA
"rf",1,4.26267987704132,4.5894025658986,120.47812,-28.0803,NA,NA,NA,NA
"rf",1,3.98898404656427,4.50305958882915,120.47647,-28.08027,NA,NA,NA,NA
"rf",1,4.35670882668959,4.39335003369085,120.47483,-28.08024,NA,NA,NA,NA
"rf",1,2.83321334405622,3.29195678700171,121.11742,-28.07991,NA,NA,NA,NA
"rf",1,2.99573227355399,3.06990036623183,120.35138,-28.07935,NA,NA,NA,NA
"rf",1,3.66356164612965,3.19223414483636,121.15795,-28.06763,NA,NA,NA,NA
"rf",1,3.46573590279973,2.99549391505142,120.70928,-28.06725,NA,NA,NA,NA
"rf",1,2.30258509299405,3.09342959522611,120.33782,-28.06658,NA,NA,NA,NA
"rf",1,4.34963256686288,3.81481791525798,120.51741,-28.0635,NA,NA,NA,NA
"rf",1,4.70048036579242,3.15404494571473,120.60454,-28.05237,NA,NA,NA,NA
"rf",1,4.60517018598809,4.51269477965129,120.53053,-28.04432,NA,NA,NA,NA
"rf",1,2.07944154167984,3.00365142028189,120.17346,-28.04328,NA,NA,NA,NA
"rf",1,2.07944154167984,2.99596850981921,120.24427,-28.03071,NA,NA,NA,NA
"rf",1,3.44998754583159,4.33701650166443,120.53181,-28.02646,NA,NA,NA,NA
"rf",1,3.25809653802148,3.39208756207006,120.46173,-28.02005,NA,NA,NA,NA
"rf",1,4.18965474202643,3.72447301400418,120.55408,-28.01514,NA,NA,NA,NA
"rf",1,3.36729582998647,3.59725763390918,120.45248,-28.00805,NA,NA,NA,NA
"rf",1,2.89037175789616,3.52982571252087,120.45625,-28.00033,NA,NA,NA,NA
"rf",1,2.77258872223978,3.30168207381523,120.83041,-27.99881,NA,NA,NA,NA
"rf",1,3.3322045101752,3.09566822098278,120.45887,-27.99568,NA,NA,NA,NA
"rf",1,3.91202300542815,2.83940379683972,120.45934,-27.99565,NA,NA,NA,NA
"rf",1,2.77258872223978,3.45752214210795,120.45776,-27.99369,NA,NA,NA,NA
"rf",1,3.2188758248682,2.81902873081727,120.38276,-27.99335,NA,NA,NA,NA
"rf",1,3.40119738166216,3.54396237588029,121.04293,-27.99277,NA,NA,NA,NA
"rf",1,3.97029191355212,4.28177650273398,120.45933,-27.99006,NA,NA,NA,NA
"rf",1,2.07944154167984,2.84773518911339,120.28591,-27.9888,NA,NA,NA,NA
"rf",1,1.09861228866811,2.98723514341492,120.38277,-27.98876,NA,NA,NA,NA
"rf",1,3.40119738166216,4.08311322415595,120.45789,-27.98774,NA,NA,NA,NA
"rf",1,3.04452243772342,3.14069283679483,120.8964,-27.98522,NA,NA,NA,NA
"rf",1,2.77258872223978,3.09727239410045,120.76308,-27.98482,NA,NA,NA,NA
"rf",1,4.93447393313069,3.87848334075833,120.5017,-27.9763,NA,NA,NA,NA
"rf",1,5.04985600724954,4.2917244739052,120.57539,-27.97444,NA,NA,NA,NA
"rf",1,3.71357206670431,3.07749844666141,120.30114,-27.97255,NA,NA,NA,NA
"rf",1,4.59511985013459,4.53910694126747,120.55775,-27.97126,NA,NA,NA,NA
"rf",1,3.87120101090789,4.59940244235272,120.54012,-27.97082,NA,NA,NA,NA
"rf",1,4.33073334028633,4.24469858994969,120.53062,-27.9708,NA,NA,NA,NA
"rf",1,4.23410650459726,4.34750367751487,120.52939,-27.97068,NA,NA,NA,NA
"rf",1,4.06044301054642,3.72540291147448,120.51573,-27.96914,NA,NA,NA,NA
"rf",1,4.53259949315326,4.35342322478955,120.62686,-27.96613,NA,NA,NA,NA
"rf",1,4.35670882668959,4.35342322478955,120.62737,-27.96539,NA,NA,NA,NA
"rf",1,4.60517018598809,4.48260248232893,120.65298,-27.96342,NA,NA,NA,NA
"rf",1,3.63758615972639,3.8363158827129,120.59533,-27.96276,NA,NA,NA,NA
"rf",1,4.26267987704132,4.43822773332066,120.64031,-27.94917,NA,NA,NA,NA
"rf",1,4.00733318523247,3.63044117262724,120.59822,-27.93638,NA,NA,NA,NA
"rf",1,3.98898404656427,3.19597918538076,120.23824,-27.93205,NA,NA,NA,NA
"rf",1,4.0943445622221,3.61605218218402,121.03582,-27.93177,NA,NA,NA,NA
"rf",1,2.77258872223978,3.38021090292837,120.94888,-27.92744,NA,NA,NA,NA
"rf",1,2.89037175789616,3.48995146909343,120.52003,-27.92262,NA,NA,NA,NA
