"k","model","o","p"
2,"hier_rf",3.76120011569356,3.56844602872479
2,"hier_rf",1.38629436111989,2.6779365515914
2,"hier_rf",1.79175946922805,2.32703910800922
2,"hier_rf",2.99573227355399,2.67374778989833
2,"hier_rf",4.17438726989564,3.6890940887983
2,"hier_rf",2.30258509299405,2.57485234275975
2,"hier_rf",2.63905732961526,2.66418033150722
2,"hier_rf",2.30258509299405,2.67333593768514
2,"hier_rf",4.35670882668959,3.64113987090337
2,"hier_rf",3.25809653802148,2.59979814562461
2,"hier_rf",3.43398720448515,3.7885211882684
2,"hier_rf",4.17438726989564,3.87278373953353
2,"hier_rf",4.68582808900555,4.06117279229531
2,"hier_rf",4.70138904372863,4.18788528413916
2,"hier_rf",2.484906649788,2.28199505560069
2,"hier_rf",2.94443897916644,4.05807212280406
2,"hier_rf",2.99573227355399,2.88272830075535
2,"hier_rf",2.30258509299405,2.06579118377083
2,"hier_rf",2.89037175789616,2.88228162842581
2,"hier_rf",3.46573590279973,2.31555649899784
2,"hier_rf",1.6094379124341,2.90924862909237
2,"hier_rf",0.693147180559945,3.38803046979353
2,"hier_rf",3.68887945411394,3.36168875517493
2,"hier_rf",2.63905732961526,2.69441134993901
2,"hier_rf",3.25809653802148,1.8427829654635
2,"hier_rf",2.83321334405622,3.16947943848155
2,"hier_rf",1.6094379124341,3.53910996741453
2,"hier_rf",4.25632167829882,3.5269795075319
2,"hier_rf",3.61091791264422,3.66895984703048
2,"hier_rf",2.70805020110221,3.95097879191246
2,"hier_rf",2.484906649788,3.94200622819528
2,"hier_rf",3.58351893845611,2.90584192445353
2,"hier_rf",2.07944154167984,1.94847379851315
2,"hier_rf",4.8283137373023,4.00482929953483
2,"hier_rf",5.20948615284142,4.24884943219564
2,"hier_rf",4.29045944114839,4.27112926237664
2,"hier_rf",2.484906649788,3.52026509112335
2,"hier_rf",3.97029191355212,4.07206022777631
2,"hier_rf",2.484906649788,1.61437128517564
2,"hier_rf",3.40119738166216,3.61634947448493
2,"hier_rf",1.38629436111989,2.89235014114827
2,"hier_rf",1.09861228866811,2.46990347327651
2,"hier_rf",3.98898404656427,3.37458361600525
2,"hier_rf",2.56494935746154,2.59230624360238
2,"hier_rf",2.30258509299405,3.13349242751016
2,"hier_rf",4.70048036579242,3.4059046791209
2,"hier_rf",2.77258872223978,2.37898909809136
2,"hier_rf",4.27666611901606,3.34081509242441
2,"hier_rf",5.95064255258773,4.00569834014052
2,"hier_rf",4.74493212836325,4.23216247999636
2,"hier_rf",5.63478960316925,4.21323452757568
2,"hier_rf",2.07944154167984,2.79832891959833
2,"hier_rf",2.07944154167984,2.20832761685183
2,"hier_rf",4.97673374242057,3.71856706836792
2,"hier_rf",2.07944154167984,2.115436611061
2,"hier_rf",1.79175946922805,1.85714247577437
2,"hier_rf",3.78418963391826,2.24669115408435
2,"hier_rf",2.30258509299405,2.47549063907
2,"hier_rf",0.693147180559945,3.25923799033875
2,"hier_rf",2.52572864430826,2.3715421526343
2,"hier_rf",0.693147180559945,1.43047545280157
2,"hier_rf",2.484906649788,2.43644538189989
2,"hier_rf",4.15966402834274,3.01926035914171
2,"hier_rf",3.3322045101752,3.25471833043968
2,"hier_rf",2.68784749378469,3.28350903772327
2,"hier_rf",3.5945687746427,2.97414601890945
2,"hier_rf",3.28952066443753,3.28350903772327
2,"hier_rf",1.84054963339749,2.93375560735416
2,"hier_rf",3.40119738166216,3.13743935195995
2,"hier_rf",1.38629436111989,1.42395664682076
2,"hier_rf",2.07944154167984,2.22580654965327
2,"hier_rf",2.07944154167984,1.12401408786186
2,"hier_rf",4.77912349311153,4.23846978411758
2,"hier_rf",4.77912349311153,4.0626279063609
2,"hier_rf",6.92657703322272,4.0626279063609
2,"hier_rf",4.64439089914137,4.22514694089373
2,"hier_rf",2.30258509299405,2.83052331813783
2,"hier_rf",3.63758615972639,3.87575930855616
2,"hier_rf",3.61091791264422,4.75569364413553
2,"hier_rf",4.38202663467388,3.80916795627813
2,"hier_rf",1.38629436111989,1.91071950980227
2,"hier_rf",4.43081679884331,3.45872604118848
2,"hier_rf",2.83321334405622,2.87960917130103
2,"hier_rf",2.484906649788,2.52915524967912
2,"hier_rf",2.89037175789616,3.41994288704745
