"k","model","o","p"
2,"hier_rf",3.52636052461616,2.97448419325712
2,"hier_rf",2.39789527279837,3.02542273909965
2,"hier_rf",3.63758615972639,3.75944510417004
2,"hier_rf",3.61091791264422,3.36232124383487
2,"hier_rf",3.36729582998647,2.95957264348106
2,"hier_rf",2.77258872223978,2.71154616941616
2,"hier_rf",3.95124371858143,2.86128653722484
2,"hier_rf",2.56494935746154,3.09671461134474
2,"hier_rf",3.36729582998647,3.0578677066622
2,"hier_rf",2.99573227355399,2.82197306790064
2,"hier_rf",3.46573590279973,3.10908008961393
2,"hier_rf",5.1624976434055,5.07481699963219
2,"hier_rf",2.94443897916644,2.8727082547268
2,"hier_rf",4.69134788222914,3.76417232638592
2,"hier_rf",4.5857834721879,4.28116888994844
2,"hier_rf",3.25809653802148,2.82672881215558
2,"hier_rf",3.13549421592915,3.02991465846264
2,"hier_rf",3.58351893845611,2.77861073086009
2,"hier_rf",2.70805020110221,3.05287144489618
2,"hier_rf",2.77258872223978,2.92954501412587
2,"hier_rf",2.83321334405622,3.04576198109015
2,"hier_rf",4.60517018598809,3.97369284435925
2,"hier_rf",4.17438726989564,4.08640563431933
2,"hier_rf",3.20558793054127,4.08298017250301
2,"hier_rf",2.63905732961526,3.06261477604778
2,"hier_rf",2.484906649788,2.86835540771112
2,"hier_rf",2.77258872223978,2.897902329576
2,"hier_rf",4.15888308335967,3.69683794908146
2,"hier_rf",3.09104245335832,2.99747971410571
2,"hier_rf",4.47163879336357,4.02080315104082
2,"hier_rf",3.71357206670431,2.9992428162307
2,"hier_rf",3.71357206670431,3.83662223494401
2,"hier_rf",2.99573227355399,3.49473259629678
2,"hier_rf",2.484906649788,2.88578140230572
2,"hier_rf",3.2188758248682,3.09232418541187
2,"hier_rf",3.66356164612965,3.83705590549685
2,"hier_rf",3.09104245335832,2.94750372956742
2,"hier_rf",2.83321334405622,2.90518673240224
2,"hier_rf",2.83321334405622,3.02316243882766
2,"hier_rf",2.83321334405622,2.89223897037904
2,"hier_rf",2.99573227355399,2.93401016485717
2,"hier_rf",3.29583686600433,3.05451674744282
2,"hier_rf",3.29583686600433,3.17809642772903
2,"hier_rf",3.17805383034795,3.12539134828178
2,"hier_rf",3.29583686600433,3.05700052917747
2,"hier_rpart",3.63758615972639,3.12282147029207
2,"hier_rpart",5.37063802812766,3.00786714401097
2,"hier_rpart",3.40119738166216,4.00646857742228
2,"hier_rpart",2.99573227355399,3.00786714401097
2,"hier_rpart",3.52636052461616,3.00786714401097
