"o","p","region","k","model"
2.63905732961526,2.99017280417486,"2.96704993909177",3,"STK"
4.56434819146784,3.98052458678848,"3.83111133596462",3,"STK"
4.23410650459726,3.02879476413692,"2.96704993909177",3,"STK"
4.64439089914137,4.1035093965656,"3.83111133596462",3,"STK"
4.96284463025991,4.10802180756595,"3.83111133596462",3,"STK"
3.17805383034795,3.744165069614,"3.83111133596462",3,"STK"
3.36729582998647,3.18071017735844,"3.36163499440395",3,"STK"
3.09104245335832,2.9693611710779,"2.96704993909177",3,"STK"
4.06044301054642,4.31834933502674,"3.36163499440395",3,"STK"
3.87120101090789,3.46876709856621,"3.36163499440395",3,"STK"
3.68887945411394,3.744165069614,"3.83111133596462",3,"STK"
3.29583686600433,2.90818137215111,"3.36163499440395",3,"STK"
4.43081679884331,4.4665007900651,"3.36163499440395",3,"STK"
4.96284463025991,4.46113181633247,"3.36163499440395",3,"STK"
3.40119738166216,3.40443468659253,"3.36163499440395",3,"STK"
3.63758615972639,3.42598003431281,"3.36163499440395",3,"STK"
3.3322045101752,2.93150685358473,"2.96704993909177",3,"STK"
1.6094379124341,2.82098638663344,"3.36163499440395",3,"STK"
3.78418963391826,3.744165069614,"3.83111133596462",3,"STK"
2.77258872223978,2.97017271483832,"2.96704993909177",3,"STK"
3.17805383034795,3.13391199615764,"3.36163499440395",3,"STK"
4.11087386417331,3.75056012082898,"3.36163499440395",3,"STK"
3.17805383034795,2.92652718620324,"2.96704993909177",3,"STK"
2.07944154167984,2.88415680904397,"2.96704993909177",3,"STK"
1.79175946922805,2.79771908493117,"3.36163499440395",3,"STK"
3.68887945411394,3.27301480473139,"3.36163499440395",3,"STK"
2.83321334405622,2.64057750772704,"3.36163499440395",3,"STK"
4.29045944114839,4.12939317965584,"3.83111133596462",3,"STK"
2.484906649788,2.8974989610141,"2.96704993909177",3,"STK"
4.77068462446567,4.18459862211294,"3.83111133596462",3,"STK"
4.75359019110636,4.11810742660417,"3.83111133596462",3,"STK"
3.98898404656427,3.99943379957131,"3.83111133596462",3,"STK"
4.11087386417331,3.36578648036058,"3.36163499440395",3,"STK"
3.25809653802148,3.01197383019965,"2.96704993909177",3,"STK"
3.52636052461616,3.42811801315204,"3.36163499440395",3,"STK"
3.58351893845611,3.744165069614,"3.83111133596462",3,"STK"
4.79579054559674,4.15891546493554,"3.83111133596462",3,"STK"
4.26267987704132,4.2898889173106,"3.83111133596462",3,"STK"
3.98898404656427,4.27758830112507,"3.83111133596462",3,"STK"
