NewID,DLAT,DLONG,Zn_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH
304,-28.11000,120.57224,87,igneous mafic volcanic,IMV,0.0000,1.0885,509.3559331,0.656686378,297.9621905,0.25065829,0.16875,12.77280049,2.267045659,3.247565984,0.876819943,5.375163615
305,-28.10920,120.49601,76.96,igneous mafic volcanic,IMV,0.0000,3.5060,475.6424144,0.331791256,177.3200958,0.486051185,0.15282,13.43776233,0.711789526,0.622033917,0.888829015,5.776660467
306,-28.10904,120.57419,118,igneous mafic volcanic,IMV,0.0000,0.9626,509.3559331,0.656686378,297.9621905,0.25065829,0.16875,12.77280049,2.267045659,3.247565984,0.876819943,5.375163615
307,-28.10871,120.57474,117,igneous mafic volcanic,IMV,0.0000,0.9397,509.3559331,0.656686378,297.9621905,0.25065829,0.16875,12.77280049,2.267045659,3.247565984,0.876819943,5.375163615
308,-28.10840,120.57569,116,igneous mafic volcanic,IMV,0.0000,0.8901,509.3559331,0.656686378,297.9621905,0.25065829,0.16875,12.77280049,2.267045659,3.247565984,0.876819943,5.375163615
309,-28.10771,120.57696,70,meta-igneous mafic/ultramafic volcanic,MIMU,0.0000,0.8683,518.7155043,0.577469159,249.9215544,0.182858063,0.1759,13.00502623,2.483322975,3.970561509,0.893920394,5.287279883
310,-28.10765,120.57751,54,meta-igneous mafic/ultramafic volcanic,MIMU,0.0000,0.8444,518.7155043,0.577469159,249.9215544,0.182858063,0.1759,13.00502623,2.483322975,3.970561509,0.893920394,5.287279883
311,-28.10649,120.48270,22,igneous mafic volcanic,IMV,0.0000,2.0482,468.0722946,0.581536769,180.5841363,0.054545903,0.16333,14.13964123,1.798599659,1.184167487,0.866222497,5.605136602
312,-28.10627,121.14061,21,regolith,RE,3.0652,15.4214,467.0659652,0.128639658,214.3320087,3.007859096,0.18688,14.41232934,11.95104993,10.21486716,0.880824928,5.554234828
313,-28.10409,120.95442,10,regolith,RE,7.1444,5.8706,500.6167884,0.194024848,189.4499167,1.007756266,0.1907,3.358728319,0.439947375,1.79656913,0.89469257,5.604203148
