,NewID,DLAT,DLONG,Pb_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH,y
893,916,-27.4057965,120.5250101,27,regolith,RE,0.2578,4.0841,535.5617515,0.687783536,269.8187524,0.171372207,0.15384,0.883534425,0.883534425,0.787944163,0.739031997,5.565174507,3.295836866
894,917,-27.40574651,120.1671901,10,regolith,RE,1.1352,28.2346,511.8264456,0.375628348,330.5092999,0.952332714,0.18319,38.10612411,10.86448953,37.57049457,0.910526747,5.589467187,2.302585093
895,918,-27.40468651,120.5686401,23,regolith,RE,0.0464,0.6758,545.0288057,0.255677127,96.0041363,0.129110195,0.15887,5.587314165,5.587314165,1.372814222,0.788052666,5.745975814,3.135494216
896,919,-27.40213667,120.3457601,16,regolith,RE,9.0247,23.5132,477.0405043,0.04373212,276.7196633,0.04162746,0.15924,18.68330112,11.49861641,18.24738728,0.884488385,6.022033331,2.772588722
897,920,-27.4001165,120.4856201,21,regolith,RE,3.6252,8.4401,510.7635786,0.240664914,230.7293674,2.914662931,0.16915,4.000739972,4.000739972,3.779430642,0.808949726,6.007051159,3.044522438
898,921,-27.39891666,120.2926401,9,regolith,RE,3.3685,25.0563,475.2602611,0.056794436,151.5351602,0,0.15664,24.52806969,11.79924213,23.92780012,0.848835127,5.910525451,2.197224577
899,922,-27.39651642,120.7048001,15,regolith,RE,1.4236,13.2355,537.7611328,0.304072715,40.33296343,3.685684531,0.18508,19.96216268,19.96216268,7.558702706,0.914674663,5.89618926,2.708050201
900,923,-27.39338653,120.2113501,8,regolith,RE,1.3464,27.3626,499.1829331,0.310104524,47.94008343,3.517010248,0.17271,33.00710585,11.7469435,32.47238114,0.900338114,5.766932074,2.079441542
901,924,-27.39228647,120.6204401,21,regolith,RE,2.976,4.0876,535.17481,0.171743936,107.4749079,0.502137393,0.13902,10.45055395,10.45055395,2.581946559,0.776767671,5.958023773,3.044522438
902,925,-27.39060652,120.0781602,6,regolith,RE,6.6726,35.5485,517.2366814,0.288357962,271.9598583,3.482521735,0.19411,47.80207116,2.136112241,47.31159188,0.9880648,5.624761157,1.791759469
903,926,-27.38519666,120.2702601,19,regolith,RE,1.3524,26.7378,479.4234906,0.112222223,107.4765265,0.871916732,0.20492,25.95025354,9.817423865,25.40691872,0.871360955,5.724982974,2.944438979
904,927,-27.38158652,120.1210102,13,regolith,RE,6.6311,33.2935,498.3199355,0.281808583,50.18921807,0.651898732,0.17479,42.71314207,7.158958305,42.22913923,0.919131771,5.75249827,2.564949357
905,928,-27.3812165,120.5721001,23,igneous volcanic,IV,1.3596,0.9388,548.119592,0.361468573,158.8144822,0.316134451,0.15063,6.193359633,6.193359633,0.862136408,0.797833105,5.714207851,3.135494216
